tree,site,species,status,age,DBH
Diss2_S10,Issole2,Abies_alba,LIVING,98,29.3316
Diss2_S11,Issole2,Abies_alba,LIVING,129,22.8572
Diss2_S12,Issole2,Abies_alba,LIVING,150,24.1408
Diss2_S13,Issole2,Abies_alba,LIVING,80,21.6366
Diss2_S14,Issole2,Abies_alba,LIVING,141,31.3616
Diss2_S15,Issole2,Abies_alba,LIVING,53,17.6106
Diss2_S27,Issole2,Abies_alba,LIVING,114,28.8244
PE01,Paco_Ezpela_High,Abies_alba,DEAD,90,40.996
PE02,Paco_Ezpela_High,Abies_alba,LIVING,115,36.002
PE03,Paco_Ezpela_High,Abies_alba,LIVING,89,48.702
PE04,Paco_Ezpela_High,Abies_alba,LIVING,71,35.204
PE05,Paco_Ezpela_High,Abies_alba,DEAD,96,31.504
PE06,Paco_Ezpela_High,Abies_alba,LIVING,81,28.796
PE07,Paco_Ezpela_High,Abies_alba,LIVING,116,27.504
PE08,Paco_Ezpela_High,Abies_alba,LIVING,94,36.506
PE09,Paco_Ezpela_High,Abies_alba,LIVING,91,36.2
PE10,Paco_Ezpela_High,Abies_alba,DEAD,102,28.998
PZ01,Paco_Ezpela_Low,Abies_alba,DEAD,114,39.5
PZ02,Paco_Ezpela_Low,Abies_alba,LIVING,116,38.002
PZ03,Paco_Ezpela_Low,Abies_alba,LIVING,109,51.504
PZ04,Paco_Ezpela_Low,Abies_alba,LIVING,94,43.502
PZ05,Paco_Ezpela_Low,Abies_alba,LIVING,91,41.998
PZ06,Paco_Ezpela_Low,Abies_alba,DEAD,133,48.006
PZ07,Paco_Ezpela_Low,Abies_alba,DEAD,161,39.92
PZ08,Paco_Ezpela_Low,Abies_alba,LIVING,133,40.004
PZ09,Paco_Ezpela_Low,Abies_alba,DEAD,129,43.006
PZ10,Paco_Ezpela_Low,Abies_alba,DEAD,123,47.502
PZ11,Paco_Ezpela_Low,Abies_alba,LIVING,108,40.504
PZ12,Paco_Ezpela_Low,Abies_alba,LIVING,129,42.5
LO01,Lopet,Abies_alba,DEAD,118,51.502
LO02,Lopet,Abies_alba,DEAD,74,45.804
LO03,Lopet,Abies_alba,LIVING,106,48.002
LO04,Lopet,Abies_alba,LIVING,122,31.998
LO05,Lopet,Abies_alba,LIVING,102,36.004
LO06,Lopet,Abies_alba,LIVING,129,42.104
LO07,Lopet,Abies_alba,LIVING,116,24.502
LO08,Lopet,Abies_alba,LIVING,105,33.404
LO10,Lopet,Abies_alba,LIVING,116,34.496
Abies_1,Canalicchio,Abies_alba,LIVING,88,66.702
Abies_2,Canalicchio,Abies_alba,LIVING,168,54.814
Abies_3,Canalicchio,Abies_alba,LIVING,120,54.126
Abies_4_,Canalicchio,Abies_alba,LIVING,75,65.544
Abies_5_,Canalicchio,Abies_alba,LIVING,88,63.525
Abies_6_,Canalicchio,Abies_alba,LIVING,69,56.24
Abies_7,Canalicchio,Abies_alba,LIVING,98,58.622
Abies_8,Canalicchio,Abies_alba,LIVING,94,56.487
Abies_9,Canalicchio,Abies_alba,LIVING,86,66.715
Abies_10,Canalicchio,Abies_alba,LIVING,93,65.716
Abies_11_,Canalicchio,Abies_alba,LIVING,90,56.89
Abies_12,Canalicchio,Abies_alba,LIVING,145,70.912
Abies_13,Canalicchio,Abies_alba,LIVING,150,71.094
Abies_14,Canalicchio,Abies_alba,LIVING,159,74.928
Abies_15,Canalicchio,Abies_alba,LIVING,86,60.08
a1_1d,Canalicchio,Abies_alba,DEAD,71,22.258
a2_1d,Canalicchio,Abies_alba,DEAD,102,19.658
a3_1d,Canalicchio,Abies_alba,DEAD,76,24.154
a4_1d,Canalicchio,Abies_alba,DEAD,80,17.21
a5_1d,Canalicchio,Abies_alba,DEAD,85,17.954
a7_1d,Canalicchio,Abies_alba,DEAD,107,18.908
a8_1d,Canalicchio,Abies_alba,DEAD,72,24.764
a9_1d,Canalicchio,Abies_alba,DEAD,73,13.688
a10_1d,Canalicchio,Abies_alba,DEAD,82,16.62
a11_1d,Canalicchio,Abies_alba,DEAD,72,14.458
a12_1d,Canalicchio,Abies_alba,DEAD,87,15.344
a13_1d,Canalicchio,Abies_alba,DEAD,72,11.796
a14_1d,Canalicchio,Abies_alba,DEAD,71,12.5
a15_1d,Canalicchio,Abies_alba,DEAD,82,13.388
a16_1d,Canalicchio,Abies_alba,DEAD,59,13.984
a17_1d,Canalicchio,Abies_alba,DEAD,70,10.614
a18_1d,Canalicchio,Abies_alba,DEAD,55,7.874
a1_2d,Canalicchio,Abies_alba,DEAD,72,18.622
a2_2d,Canalicchio,Abies_alba,DEAD,187,22.374
a3_2d,Canalicchio,Abies_alba,DEAD,82,32.444
a5_2d,Canalicchio,Abies_alba,DEAD,32,19.906
a6_2d,Canalicchio,Abies_alba,DEAD,49,11.7
a7_2d,Canalicchio,Abies_alba,DEAD,142,33.46
a8_2d,Canalicchio,Abies_alba,DEAD,138,28.126
a9_2d,Canalicchio,Abies_alba,DEAD,82,45.768
a10_2d,Canalicchio,Abies_alba,DEAD,61,15.374
a11_2d,Canalicchio,Abies_alba,DEAD,82,35.12
a12_2d,Canalicchio,Abies_alba,DEAD,43,18.578
a13_2d,Canalicchio,Abies_alba,DEAD,66,18.284
a14_2d,Canalicchio,Abies_alba,DEAD,67,12.858
a15_2d,Canalicchio,Abies_alba,DEAD,53,17.122
a16_2d,Canalicchio,Abies_alba,DEAD,62,13.56
a17_2d,Canalicchio,Abies_alba,DEAD,55,15.482
a18_2d,Canalicchio,Abies_alba,DEAD,57,14.528
a19_2d,Canalicchio,Abies_alba,DEAD,55,14.47
a20_2d,Canalicchio,Abies_alba,DEAD,53,10.22
a21_2d,Canalicchio,Abies_alba,DEAD,74,10.626
a22_2d,Canalicchio,Abies_alba,DEAD,55,11.674
a23_2d,Canalicchio,Abies_alba,DEAD,64,13.49
a24_2d,Canalicchio,Abies_alba,DEAD,62,11.514
a1_3d,Canalicchio,Abies_alba,DEAD,81,20
a2_3d,Canalicchio,Abies_alba,DEAD,113,27.92
a3_3d,Canalicchio,Abies_alba,DEAD,60,36.674
a4_3d,Canalicchio,Abies_alba,DEAD,71,29.358
a5_3d,Canalicchio,Abies_alba,DEAD,80,20.468
a6_3d,Canalicchio,Abies_alba,DEAD,89,14.422
a7_3d,Canalicchio,Abies_alba,DEAD,89,20.538
a8_3d,Canalicchio,Abies_alba,DEAD,75,12.284
a9_3d,Canalicchio,Abies_alba,DEAD,71,17.622
a10_3d,Canalicchio,Abies_alba,DEAD,48,18.918
a11_3d,Canalicchio,Abies_alba,DEAD,75,20.478
